,course_link,lesson_filename,lesson_filepath,lesson_contents,lesson_name
0,https://www.coursera.org/learn/text-retrieval,01_lesson-3-1-evaluation-of-tr-systems.en.txt,text-retrieval/04_week-3/02_week-3-lessons/01_lesson-3-1-evaluation-of-tr-systems.en.txt,"[music] this lecture is about evaluation of text retrieval systems in the previous lectures, we have talked about the a number of text retrieval methods, different kinds of ranking functions. but how do we know which one works the best? in order to answer this question, we have to compare them and that means we have to evaluate these retrieval methods. so this is the main topic of this lecture. first, lets think about why do we have to do evaluation? i already give one reason. that is, we have to use evaluation to figure out which retrieval method works better. now this is very important for advancing our knowledge. otherwise, we wouldn't know whether a new idea works better than an old idea. in the beginning of this course, we talked about the problem of text retrieval. we compare it with data base retrieval. there we mentioned that text retrieval is an empirically defined problem. so evaluation must rely on users. which system works better, would have to be judged by our users. so, this becomes a very challenging problem because how can we get users involved in the evaluation? how can we do a fair comparison of different method? so just go back to the reasons for evaluation. i listed two reasons here. the second reason, is basically what i just said, but there is also another reason which is to assess the actual utility of a text regional system. imagine you're building your own such annual applications, it would be interesting knowing how well your search engine works for your users. so in this case, matches must reflect the utility to the actual users in real occasion. and typically, this has to be done by using user starters and using the real search engine. in the second case, or the second reason, the measures actually all need to collated with the utility to actually use this. thus, they don't have to accurately reflect the exact utility to users. so the measure only needs to be good enough to tell which method works better. and this is usually done through a test collection. and this is the main idea that we'll be talking about in this course. this has been very important for comparing different algorithms and for improving search engine system in general. so let's talk about what to measure. there are many aspects of searching that we can measure, we can evaluate. and here, i listed the three major aspects. one, is effectiveness or accuracy. how accurate are the search results? in this case, we're measuring a system's capability of ranking relevant documents on top of non relevant ones. the second, is efficiency. how quickly can you get the results? how much computing resources are needed to answer a query? in this case, we need to measure the space and time overhead of the system. the third aspect is usability. basically the question is, how useful is a system for new user tasks. here, obviously, interfaces and many other things also important and would typically have to do user studies. now in this course, we're going to talk mostly about effectiveness and accuracy measures. because the efficiency and usability dimensions are not really unique to search engines. and so they are needed for without any other software systems. and there is also good coverage of such and other causes. but how to evaluate search engine's quality or accuracy is something unique to text retrieval and we're going to talk a lot about this. the main idea that people have proposed before using a test set to evaluate the text retrieval algorithm is called the cranfield evaluation methodology. this one actually was developed a long time ago, developed in 1960s. it's a methodology for laboratory test of system components. its sampling methodology that has been very useful, not just for search engine evaluation. but also for evaluating virtually all kinds of empirical tasks, and for example in natural language processing or in other fields where the problem is empirical to find, we typically would need to use such a methodology. and today with the big data challenging with the use of machine learning everywhere. this methodology has been very popular, but it was first developed for a search engine application in the 1960s. so the basic idea of this approach is to build a reusable test collection and define measures. once such a test collection is built, it can be used again and again to test different algorithms. and we're going to define measures that allow you to quantify performance of a system and algorithm. so how exactly will this work? well we can do have a sample collection of documents and this is adjusted to simulate the real document collection in the search application. we're going to also have a sample set of queries, or topics. this is a little simulator that uses queries. then, we'll have to have those relevance judgments. these are judgments of which documents should be returned for which queries. ideally, they have to be made by users who formulated the queries. because those are the people that know exactly what documents would be used for. and finally, we have to have matches for quantify how well our system's result matches the ideal ranked list. that would be constructed base on user's relevance judgements. so this methodology is very useful for starting retrieval algorithms, because the test can be reused many times. and it will also provide a fair comparison for all the methods. we have the same criteria or same dataset to be used to compare different algorithms. this allows us to compare a new algorithm with an old algorithm that was divided many years ago, by using the same standard. so this is the illustration of this works, so as i said, we need our queries that are showing here. we have q1, q2 etc. we also need the documents and that's called the document caching and on the right side you will see we need relevance judgments. these are basically the binary judgments of documents with respect to a query. so for example, d1 is judged as being relevant to q1, d2 is judged as being relevant as well, and d3 is judged as not relevant. and the q1 etc. these will be created by users. once we have these, and we basically have a test collection. and then if you have two systems, you want to compare them, then you can just run each system on these queries and the documents and each system would then return results. let's say if the queries q1 and then we would have the results here. here i show r sub a as the results from system a. so this is, remember we talked about task of computing approximation of the relevant document set. r sub a is system a's approximation here. and r sub b is system b's approximation of relevant documents. now, let's take a look at these results. so which is better? now imagine if a user, which one would you like? now let's take a look at the both results. and there are some differences and there are some documents that are returned by both systems. but if you look at the results, you will feel that maybe a is better in the sense that we don't have many number element documents. and among the three documents returned, the two of them are relevant. so that's good, it's precise. on the other hand one council say maybe b is better, because we've got all of them in the documents. we've got three instead of two. so which one is better and how do we quantify this? well, obviously this question highly depends on a user's task. it depends on users as well. you might even imagine for some users may be system a is better. if the user is not interested in getting all the random documents. right, in this case the user doesn't have to read a million users will see most of the relevant documents. on the other hand, one can also imagine the user might need to have as many random documents as possible. for example, if you're doing a literature survey you might be in the sigma category, and you might find that system b is better. so in the case, we will have to also define measures that will quantify them. and we might need it to define multiple measures because users have different perspectives of looking at the results. [music",01_lesson-3-1-evaluation-of-tr-systems
1,https://www.coursera.org/learn/text-retrieval,05_lesson-3-5-evaluation-of-tr-systems-multi-level-judgements.en.txt,text-retrieval/04_week-3/02_week-3-lessons/05_lesson-3-5-evaluation-of-tr-systems-multi-level-judgements.en.txt,"[music] this lecture is about how to evaluate the text retrieval system when we have multiple levels of judgements. in this lecture, we will continue the discussion of evaluation. we're going to look at how to evaluate a text retrieval system, when we have multiple levels of judgements. so far we have talked about the binary judgements, that means a document is judged as being relevant or not relevant. but earlier, we also talk about the relevance as a medal of degrees. so we often can distinguish very high relevant documents, those are very useful documents, from moderately relevant documents. they are okay, they are useful perhaps. and further from now, we're adding the documents, those are not useful. so imagine you can have ratings for these pages. then, you would have multiple levels of ratings. for example, here i show example of three levels, 3 for relevant, sorry 3 for very relevant, 2 for marginally relevant, and 1 for non-relevant. now, how do we evaluate the search engine system using these judgements? obvious that the map doesn't work, average of precision doesn't work, precision, and recall doesn't work, because they rely on binary judgements. so let's look at some top ranked results when using these judgements. imagine the user would be mostly care about the top ten results here. and we marked the rating levels, or relevance levels, for these documents as shown here, 3, 2, 1, 1, 3, etcetera. and we call these gain. and the reason why we call it the gain is because the measure that we are infusing is called the ndcg normalized or accumulated gain. so this gain, basically, can measure how much a gain of random information a user can obtain by looking at each document, right? so looking at the first document, the user can gain 3 points. looking at the non-relevant document user would only gain 1 point. looking at the moderator or marginally relevant, document the user would get 2 points, etcetera. so, this gain to each of the measures is a utility of the document from a user's perspective. of course, if we assume the user stops at the 10 documents and we're looking at the cutoff at 10, we can look at the total gain of the user. and what's that? well, that's simply the sum of these, and we call it the cumulative gain. so if the user stops after the position 1, that's just a 3. if the user looks at another document, that's a 3+2. if the user looks at the more documents, then the cumulative gain is more. of course this is at the cost of spending more time to examine the list. so cumulative gain gives us some idea about how much total gain the user would have if the user examines all these documents. now, in ndcg, we also have another letter here, d, discounted cumulative gain. so, why do we want to do discounting? well, if you look at this cumulative gain, there is one deficiency, which is it did not consider the rank position of these documents. so for example, looking at this sum here, and we only know there is 1 highly relevant document, 1 marginally relevant document, 2 non-relevant documents. we don't really care where they are ranked. ideally, we want these two to be ranked on the top which is the case here. but how can we capture that intuition? well we have to say, well this is 3 here is not as good as this 3 on the top. and that means the contribution of the gain from different positions has to be weighted by their position. and this is the idea of discounting, basically. so we're going to to say, well, the first one does not need to be discounted because the user can be assumed that will always see this document. but the second one, this one will be discounted a little bit because there's a small possibility that the user wouldn't notice it. so we divide this gain by a weight based on the position. so log of 2, 2 is the rank position of this document. and when we go to the third position, we discounted even more, because the normalizer is log of 3, and so on and so forth. so when we take such a sum that a lower ranked document would not contribute that much as a highly ranked document. so that means if you, for example, switch the position of this, let's say this position, and this one, and then you would get more discount if you put, for example very relevant document here as opposed to here. imagine if you put the 3 here, then it would have to be discounted. so it's not as good as if you we would put the 3 here. so this is the idea of discounting. okay, so now at this point that we have got a discounted cumulative gain for measuring the utility of this ranked list with multiple levels of judgements. so are we happy with this? well, we can use this to rank systems. now, we still need to do a little bit more in order to make this measure comparable across different topics. and this is the last step, and by the way, here we just show the dcg at 10, so this is the total sum of dcg, all these 10 documents. so the last step is called n, normalization. and if we do that, then we'll get the normalized dcg. so how do we do that? well, the idea here is we're going to normalize dcg by the ideal dcg at the same cutoff. what is the ideal dcg? well, this is the dcg of an ideal ranking. so imagine if we have 9 documents in the whole collection rated 3 here. and that means in total we have 9 documents rated 3. then our ideal rank lister would have put all these 9 documents on the very top. so all these would have to be 3 and then this would be followed by a 2 here. because that's the best we could do after we have run out of the 3. but all these positions would be 3. right? so this would our ideal ranked list. and then we had computed the dcg for this ideal rank list. so this would be given by this formula that you see here. and so this ideal dcg would then be used as the normalizer dcg. so here. and this idea of dcg would be used as a normalizer. so you can imagine now, normalization essentially is to compare the actual dcg with the best dcg you can possibly get for this topic. now why do we want to do this? well, by doing this we'll map the dcg values into a range of 0 through 1. so the best value, or the highest value, for every query would be 1. that's when your rank list is, in fact, the ideal list but otherwise, in general, you will be lower than one. now, what if we don't do that? well, you can see, this transformation, or this normalization, doesn't really affect the relative comparison of systems for just one topic, because this ideal dcg is the same for all the systems, so the ranking of systems based on only dcg would be exactly the same as if you rank them based on the normalized dcg. the difference however is when we have multiple topics. because if we don't do normalization, different topics will have different scales of dcg. for a topic like this one, we have 9 highly relevant documents, the dcg can get really high, but imagine in another case, there are only two very relevant documents in total in the whole collection. then the highest dcg that any system could achieve for such a topic would not be very high. so again, we face the problem of different scales of dcg values. when we take an average, we don't want the average to be dominated by those high values. those are, again, easy queries. so, by doing the normalization, we can have avoided the problem, making all the queries contribute to equal to the average. so, this is a idea of ndcg, it's used for measuring a rank list based on multiple level of relevance judgements. in a more general way this is basically a measure that can be applied to any ranked task with multiple level of judgements. and the scale of the judgements can be multiple, can be more than binary not only more than binary they can be much multiple levels like 1, 0, 5 or even more depending on your application. and the main idea of this measure, just to summarize, is to measure the total utility of the top k documents. so you always choose a cutoff and then you measure the total utility. and it would discount the contribution from a lowly ranked document. and then finally, it would do normalization to ensure comparability across queries. [music",05_lesson-3-5-evaluation-of-tr-systems-multi-level-judgements
2,https://www.coursera.org/learn/text-retrieval,03_lesson-3-3-evaluation-of-tr-systems-evaluating-ranked-lists-part-1.en.txt,text-retrieval/04_week-3/02_week-3-lessons/03_lesson-3-3-evaluation-of-tr-systems-evaluating-ranked-lists-part-1.en.txt,"[music] this lecture is about, how we can evaluate a ranked list? in this lecture, we will continue the discussion of evaluation. in particular, we are going to look at, how we can evaluate a ranked list of results. in the previous lecture, we talked about, precision-recall. these are the two basic measures for, quantitatively measuring the performance of a search result. but, as we talked about, ranking, before, we framed that the text of retrieval problem, as a ranking problem. so, we also need to evaluate the, the quality of a ranked list. how can we use precision-recall to evaluate, a ranked list? well, naturally, we have to look after the precision-recall at different, cut-offs. because in the end, the approximation of relevant documents, set, given by a ranked list, is determined by where the user stops browsing. right? if we assume the user, securely browses, the list of results, the user would, stop at some point, and that point would determine the set. and then, that's the most important, cut-off, that we have to consider, when we compute the precision-recall. without knowing where exactly user would stop, then we have to consider, all the positions where the user could stop. so, let's look at these positions. look at this slide, and then, let's look at the, what if the user stops at the, the first document? what's the precision-recall at this point? what do you think? well, it's easy to see, that this document is so, the precision is one out of one. we have, got one document, and that's relevent. what about the recall? well, note that, we're assuming that, there are ten relevant documents, for this query in the collection, so, it's one out of ten. what if the user stops at the second position? top two. well, the precision is the same, 100%, two out of two. and, the record is two out of ten. what if the user stops at the third position? well, this is interesting, because in this case, we have not got any, additional relevant document, so, the record does not change. but the precision is lower, because we've got number [inaudible] so, what's exactly the precision? well, it's two out of three, right? and, recall is the same, two out of ten. so, when would see another point, where the recall would be different? now, if you look down the list, well, it won't happen until, we have, seeing another relevant document. in this case d5, at that point, the, the recall is increased through three out of ten, and, the precision is three out of five. so, you can see, if we keep doing this, we can also get to d8. and then, we will have a precision of four out of eight, because there are eight documents, and four of them are relevant. and, the recall is a four out of ten. now, when can we get, a recall of five out of ten? well, in this list, we don't have it, so, we have to go down on the list. we don't know, where it is? but, as convenience, we often assume that, the precision is zero, at all the, the othe, the precision are zero at all the other levels of recall, that are beyond the search results. so, of course, this is a pessimistic assumption, the actual position would be higher, but we make, make this assumption, in order to, have an easy way to, compute another measure called average precision, that we will discuss later. now, i should also say, now, here you see, we make these assumptions that are clearly not, accurate. but, this is okay, for the purpose of comparing to, text methods. and, this is for the relative comparison, so, it's okay, if the actual measure, or actual, actual number deviates a little bit, from the true number. as long as the deviation, is not biased toward any particular retrieval method, we are okay. we can still, accurately tell which method works better. and, this is important point, to keep in mind. when you compare different algorithms, the key's to avoid any bias toward each method. and, as long as, you can avoid that. it's okay, for you to do transformation of these measures anyway, so, you can preserve the order. okay, so, we'll just talk about, we can get a lot of precision-recall numbers at different positions. so, now, you can imagine, we can plot a curve. and, this just shows on the, x-axis, we show the recalls. and, on the y-axis, we show the precision. so, the precision line was marked as .1, .2, .3, and, 1.0. right? so, this is, the different, levels of recall. and,, the y-axis also has, different amounts, that's for precision. so, we plot the, these, precision-recall numbers, that we have got, as points on this picture. now, we can further, and link these points to form a curve. as you'll see, we assumed all the other, precision as the high-level recalls, be zero. and, that's why, they are down here, so, they are all zero. and this, the actual curve probably will be something like this, but, as we just discussed, it, it doesn't matter that much, for comparing two methods. because this would be, underestimated, for all the method. okay, so, now that we, have this precision-recall curve, how can we compare ranked to back list? all right, so, that means, we have to compare two pr curves. and here, we show, two cases. where system a is showing red, system b is showing blue, there's crosses. all right, so, which one is better? i hope you can see, where system a is clearly better. why? because, for the same level of recall, see same level of recall here, and you can see, the precision point by system a is better, system b. so, there's no question. in here, you can imagine, what does the code look like, for ideal search system? well, it has to have perfect, precision at all the recall points, so, it has to be this line. that would be the ideal system. in general, the higher the curve is, the better, right? the problem is that, we might see a case like this. this actually happens often. like, the two curves cross each other. now, in this case, which one is better? what do you think? now, this is a real problem, that you actually, might have face. suppose, you build a search engine, and you have a old algorithm, that's shown here in blue, or system b. and, you have come up with a new idea. and, you test it. and, the results are shown in red, curve a. now, your question is, is your new method better than the old method? or more, practically, do you have to replace the algorithm that you're already using, your, in your search engine, with another, new algorithm? so, should we use system, method a, to replace method b? this is going to be a real decision, that you to have to make. if you make the replacement, the search engine would behave like system a here, whereas, if you don't do that, it will be like a system b. so, what do you do? now, if you want to spend more time to think about this, pause the video. and, it's actually very useful to think about that. as i said, it's a real decision that you have to make, if you are building your own search engine, or if you're working, for a company that, cares about the search. now, if you have thought about this for a moment, you might realize that, well, in this case, it's hard to say. now, some users might like a system a, some users might like, like system b. so, what's the difference here? well, the difference is just that, you know, in the, low level of recall, in this region, system b is better. there's a higher precision. but in high recall region, system a is better. now, so, that also means, it depends on whether the user cares about the high recall, or low recall, but high precision. you can imagine, if someone is just going to check out, what's happening today, and want to find out something relevant in the news. well, which one is better? what do you think? in this case, clearly, system b is better, because the user is unlikely examining a lot of results. the user doesn't care about high recall. on the other hand, if you think about a case, where a user is doing you are, starting a problem. you want to find, whether your idea ha, has been started before. in that case, you emphasize high recall. so, you want to see, as many relevant documents as possible. therefore, you might, favor, system a. so, that means, which one is better? that actually depends on users, and more precisely, users task. so, this means, you may not necessarily be able to come up with one number, that would accurately depict the performance. you have to look at the overall picture. yet, as i said, when you have a practical decision to make, whether you replace ours with another, then you may have to actually come up with a single number, to quantify each, method. or, when we compare many different methods in research, ideally, we have one number to compare, them with, so, that we can easily make a lot of comparisons. so, for all these reasons, it is desirable to have one, single number to match it up. so, how do we do that? and, that, needs a number to summarize the range. so, here again it's the precision-recall curve, right? and, one way to summarize this whole ranked, list, for this whole curve, is look at the area underneath the curve. right? so, this is one way to measure that. there are other ways to measure that, but, it just turns out that,, this particular way of matching it has been very, popular, and has been used, since a long time ago for text and, this is, basically, in this way, and it's called the average precision. basically, we're going to take a, a look at the, every different, recall point. and then, look out for the precision. so, we know, you know, this is one precision. and, this is another, with, different recall. now, this, we don't count to this one, because the recall level is the same, and we're going to, look at the, this number, and that's precision at a different recall level et cetera. so, we have all these, you know, added up. these are the precisions at the different points, corresponding to retrieving the first relevant document, the second, and then, the third, that follows, et cetera. now, we missed the many relevant documents, so, in all of those cases, we just, assume, that they have zero precisions. and then, finally, we take the average. so, we divide it by ten, and which is the total number of relevant documents in the collection. note that here, we're not dividing this sum by four. which is a number retrieved relevant documents. now, imagine, if i divide by four, what would happen? now, think about this, for a moment. it's a common mistake that people, sometimes, overlook. right, so, if we, we divide this by four, it's actually not very good. in fact, that you are favoring a system, that would retrieve very few random documents, as in that case, the denominator would be very small. so, this would be, not a good matching. so, note that this denomina, denominator is ten, the total number of relevant documents. and, this will basically ,compute the area, and the needs occur. and, this is the standard method, used for evaluating a ranked list. note that, it actually combines recall and, precision. but first, you know, we have precision numbers here, but secondly, we also consider recall, because if missed many, there would be many zeros here. all right, so, it combines precision and recall. and furthermore, you can see this measure is sensitive to a small change of a position of a relevant document. let's say, if i move this relevant document up a little bit, now, it would increase this means, this average precision. whereas, if i move any relevant document, down, let's say, i move this relevant document down, then it would decrease, uh,the average precision. so, this is a very good, because it's a very sensitive to the ranking of every relevant document. it can tell, small differences between two ranked lists. and, that is what we want, sometimes one algorithm only works slightly better than another. and, we want to see this difference. in contrast, if we look at the precision at the ten documents. if we look at this, this whole set, well, what, what's the precision, what do you think? well, it's easy to see, that's a four out of ten, right? so, that precision is very meaningful, because it tells us, what user would see? so, that's pretty useful, right? so, it's a meaningful measure, from a users perspective. but, if we use this measure to compare systems, it wouldn't be good, because it wouldn't be sensitive to where these four relevant documents are ranked. if i move them around the precision at ten, still, the same. right. so, this is not a good measure for comparing different algorithms. in contrast, the average precision is a much better measure. it can tell the difference of, different, a difference in ranked list in, subtle ways. [music",03_lesson-3-3-evaluation-of-tr-systems-evaluating-ranked-lists-part-1
3,https://www.coursera.org/learn/text-retrieval,04_lesson-3-4-evaluation-of-tr-systems-evaluating-ranked-lists-part-2.en.txt,text-retrieval/04_week-3/02_week-3-lessons/04_lesson-3-4-evaluation-of-tr-systems-evaluating-ranked-lists-part-2.en.txt,"[sound] so average precision is computer for just one. one query. but we generally experiment with many different queries and this is to avoid the variance across queries. depending on the queries you use you might make different conclusions. right, so it's better then using more queries. if you use more queries then, you will also have to take the average of the average precision over all these queries. so how can we do that? well, you can naturally. think of just doing arithmetic mean as we always tend to, to think in, in this way. so, this would give us what's called a ""mean average position"", or map. in this case, we take arithmetic mean of all the average precisions over several queries or topics. but as i just mentioned in another lecture, is this good? we call that. we talked about the different ways of combining precision and recall. and we conclude that the arithmetic mean is not as good as the map measure. but here it's the same. we can also think about the alternative ways of aggregating the numbers. don't just automatically assume that, though. let's just also take the arithmetic mean of the average position over these queries. let's think about what's the best way of aggregating them. if you think about the different ways, naturally you will, probably be able to think about another way, which is geometric mean. and we call this kind of average a gmap. this is another way. so now, once you think about the two different ways. of doing the same thing. the natural question to ask is, which one is better? so. so, do you use map or gmap? again, that's important question. imagine you are again testing a new algorithm in, by comparing the ways your old algorithms made the search engine. now you tested multiple topics. now you've got the average precision for these topics. now you are thinking of looking at the overall performance. you have to take the average. but which, which strategy would you use? now first, you should also think about the question, well did it make a difference? can you think of scenarios where using one of them would make a difference? that is they would give different rankings of those methods. and that also means depending on the way you average or detect the. average of these average positions. you will get different conclusions. this makes the question becoming even more important. right? so, which one would you use? well again, if you look at the difference between these. different ways of aggregating the average position. you'll realize in arithmetic mean, the sum is dominating by large values. so what does large value here mean? it means the query is relatively easy. you can have a high pres, average position. whereas gmap tends to be affected more by low values. and those are the queries that don't have good performance. the average precision is low. so if you think about the, improving the search engine for those difficult queries, then gmap would be preferred, right? on the other hand, if you just want to. have improved a lot. over all the kinds of queries or particular popular queries that might be easy and you want to make the perfect and maybe map would be then preferred. so again, the answer depends on your users, your users tasks and their pref, their preferences. so the point that here is to think about the multiple ways to solve the same problem, and then compare them, and think carefully about the differences. and which one makes more sense. often, when one of them might make sense in one situation and another might make more sense in a different situation. so it's important to pick out under what situations one is preferred. as a special case of the mean average position, we can also think about the case where there was precisely one rank in the document. and this happens often, for example, in what's called a known item search. where you know a target page, let's say you have to find amazon, homepage. you have one relevant document there, and you hope to find it. that's call a ""known item search"". in that case, there's precisely one relevant document. or in another application, like a question and answering, maybe there's only one answer. are there. so if you rank the answers, then your goal is to rank that one particular answer on top, right? so in this case, you can easily verify the average position, will basically boil down to reciprocal rank. that is, 1 over r where r is the rank position of that single relevant document. so if that document is ranked on the very top or is 1, and then it's 1 for reciprocal rank. if it's ranked at the, the second, then it's 1 over 2. et cetera. and then we can also take a, a average of all these average precision or reciprocal rank over a set of topics, and that would give us something called a mean reciprocal rank. it's a very popular measure. for no item search or, you know, an problem where you have just one relevant item. now again here, you can see this r actually is meaningful here. and this r is basically indicating how much effort a user would have to make in order to find that relevant document. if it's ranked on the top it's low effort that you have to make, or little effort. but if it's ranked at 100 then you actually have to, read presumably 100 documents in order to find it. so, in this sense r is also a meaningful measure and the reciprocal rank will take the reciprocal of r, instead of using r directly. so my natural question here is why not simply using r? i imagine if you were to design a ratio to, measure the performance of a random system, when there is only one relevant item. you might have thought about using r directly as the measure. after all, that measures the user's effort, right? but, think about if you take a average of this over a large number of topics. again it would make a difference. right, for one single topic, using r or using 1 over r wouldn't make any difference. it's the same. larger r with corresponds to a small 1 over r, right? but the difference would only show when, show up when you have many topics. so again, think about the average of mean reciprocal rank versus average of just r. what's the difference? do you see any difference? and would, would this difference change the oath of systems. in our conclusion. and this, it turns out that, there is actually a big difference, and if you think about it, if you want to think about it and then, yourself, then pause the video. basically, the difference is, if you take some of our directory, then. again it will be dominated by large values of r. so what are those values? those are basically large values that indicate that lower ranked results. that means the relevant items rank very low down on the list. and the sum that's also the average that would then be dominated by. where those relevant documents are ranked in, in ,in, in the lower portion of the ranked. but from a users perspective we care more about the highly ranked documents. so by taking this transformation by using reciprocal rank. here we emphasize more on the difference on the top. you know, think about the difference between 1 and the 2, it would make a big difference, in 1 over r, but think about the 100, and 1, and where and when won't make much difference if you use this. but if you use this there will be a big difference in 100 and let's say 1,000, right. so this is not the desirable. on the other hand, a 1 and 2 won't make much difference. so this is yet another case where there may be multiple choices of doing the same thing and then you need to figure out which one makes more sense. so to summarize, we showed that the precision-recall curve. can characterize the overall accuracy of a ranked list. and we emphasized that the actual utility of a ranked list depends on how many top ranked results a user would actually examine. some users will examine more. than others. an average person uses a standard measure for comparing two ranking methods. it combines precision and recall and it's sensitive to the rank of every random document. [music",04_lesson-3-4-evaluation-of-tr-systems-evaluating-ranked-lists-part-2
4,https://www.coursera.org/learn/text-retrieval,02_lesson-3-2-evaluation-of-tr-systems-basic-measures.en.txt,text-retrieval/04_week-3/02_week-3-lessons/02_lesson-3-2-evaluation-of-tr-systems-basic-measures.en.txt,"[sound] this lecture is about the basic measures for evaluation of text retrieval systems. in this lecture, we're going to discuss how we design basic measures to quantitatively compare two retrieval systems. this is a slide that you have seen earlier in the lecture where we talked about the granville evaluation methodology. we can have a test faction that consists of queries, documents, and [inaudible]. we can then run two systems on these data sets to contradict the evaluator. their performance. and we raise the question, about which set of results is better. is system a better or is system b better? so let's now talk about how to accurately quantify their performance. suppose we have a total of 10 relevant documents in the collection for this query. now, the relevant judgments show on the right in [inaudible] obviously. and we have only seen 3 [inaudible] there, [inaudible] documents there. but, we can imagine there are other random documents in judging for this query. so now, intuitively, we thought that system a is better because it did not have much noise. and in particular we have seen that among the three results, two of them are relevant but in system b, we have five results and only three of them are relevant. so intuitively it looks like system a is more accurate. and this infusion can be captured by a matching holder position, where we simply compute to what extent all the retrieval results are relevant. if you have 100% position, that would mean that all the retrieval documents are relevant. so in this case system a has a position of two out of three system b has some sweet hold of 5 and this shows that system a is better frequency. but we also talked about system b might be prefered by some other units would like to retrieve as many random documents as possible. so in that case we'll have to compare the number of relevant documents that they retrieve and there's another method called recall. this method uses the completeness of coverage of random documents in your retrieval result. so we just assume that there are ten relevant documents in the collection. and here we've got two of them, in system a. so the recall is 2 out of 10. whereas system b has called a 3, so it's a 3 out of 10. now we can see by recall system b is better. and these two measures turn out to be the very basic of measures for evaluating search engine. and they are very important because they are also widely used in many other test evaluation problems. for example, if you look at the applications of machine learning, you tend to see precision recall numbers being reported and for all kinds of tasks. okay so, now let's define these two measures more precisely. and these measures are to evaluate a set of retrieved documents, so that means we are considering that approximation of the set of relevant documents. we can distinguish 4 cases depending on the situation of the documents. a document can be retrieved or not retrieved, right? because we are talking about a set of results. a document can be also relevant or not relevant depending on whether the user thinks this is a useful document. so we can now have counts of documents in. each of the four categories again have a represent the number of documents that have been retrieved and relevant. b for documents that are not retrieved but rather etc. no with this table then we can define precision. as the ratio of the relevant retrieved documents a to the total of relevant retrieved documents. so, this is just a divided by the sum of a and c. the sum of this column. singularly recall is defined by dividing a by the sum of a and b. so that's again to divide a by. the sum of the row instead of the column. all right, so we can see precision and recall is all focused on looking at the a, that's the number of retrieved relevant documents. but we're going to use different denominators. okay, so what would be an ideal result. well, you can easily see being the ideal case would have precision and recall oil to be 1.0. that means we have got 1% of all the relevant documents in our results, and all of the results that we returned all relevant. at least there's no single not relevant document returned. in reality, however, high recall tends to be associated with low precision. and you can imagine why that's the case. as you go down the to try to get as many random documents as possible, you tend to encounter a lot of documents, so the precision has to go down. note that this set can also be defined by a cut off. in the rest of this, that's why although these two measures are defined for retrieve the documents, they are actually very useful for evaluating a rank list. they are the fundamental measures in task retrieval and many other tasks. we often are interested in the precision at ten documents for web search. this means we look at how many documents among the top ten results are actually relevant. now, this is a very meaningful measure, because it tells us how many relevant documents a user can expect to see on the first page of where they typically show ten results. so precision and recall are the basic matches and we need to use them to further evaluate a search engine, but they are the building blocks. we just said that there tends to be a trailoff between precision and recall, so naturally it would be interesting to combine them. and here's one method that's often used, called f-measure and it's a [inaudible] mean of precision and recall as defined on this slide. so, you can see at first, compute the. inverse of r and p here, and then it would interpret the 2 by using coefficients depending on parameter beta. and after some transformation you can easily see it would be of this form. and in any case it just becomes an agent of precision and recall, and beta is a parameter, that's often set to 1. it can control the emphasis on precision or recall always set beta to 1 we end up having a special case of f-measure, often called f1. this is a popular measure that's often used as a combined precision and recall. and the formula looks very simple. it's just this, here. now it's easy to see that if you have a larger precision, or larger recall than f measure would be high. but, what's interesting is that the trade off between precision and recall is captured an interesting way in f1. so, in order to understand that, we can first look at the natural why not just the combining and using the symbol arithmetically as efficient here? that would be likely the most natural way of combining them so what do you think? if you want to think more, you can pause the video. so why is this not as good as f1? or what's the problem with this? now, if you think about the arithmetic mean, you can see this is the sum of multiple terms. in this case, it's the sum of precision and recall. in the case of a sum, the total value tends to be dominated by the large values. that means if you have a very high p or very high r then you really don't care about whether the other value is low so the whole sum would be high. now this is not desirable because one can easily have a perfect recall. we have perfect recall easily. can we imagine how? it's probably very easy to imagine that we simply retrieve all the documents in the collection and then we have a perfect recall. and this will give us 0.5 as the average. but such results are clearly not very useful for the users even though the average using this formula would be relevantly high. in contrast you can see f 1 would reward a case where precision and recall are roughly that seminar, so it would a case where you had extremely high value for one of them. so this means f one encodes a different trade off between that. now this example shows actually a very important. methodology here. but when you try to solve a problem you might naturally think of one solution, let's say in this it's this error mechanism. but it's important not to settle on this source. it's important to think whether you have other ways to combine that. and once you think about the multiple variance it's important to analyze their difference, and then think about which one makes more sense. in this case, if you think more carefully, you will think that f1 probably makes more sense. than the simple. although in other cases there may be different results. but in this case the seems not reasonable. but if you don't pay attention to these subtle differences you might just take a easy way to combine them and then go ahead with it. and here later, you will find that, the measure doesn't seem to work well. all right. so this methodology is actually very important in general, in solving problems. try to think about the best solution. try to understand the problem very well, and then know why you needed this measure, and why you need to combine precision and recall. and then use that to guide you in finding a good way to solve the problem. to summarize, we talked about precision which addresses the question are there retrievable results all relevant? we also talk about the recall. which addresses the question, have all of the relevant documents been retrieved. these two, are the two, basic matches in text and retrieval in. they are used for many other tasks, as well. we talk about f measure as a way to combine precision precision and recall. we also talked about the tradeoff between precision and recall. and this turns out to depend on the user's search tasks and we'll discuss this point more in a later lecture. [music",02_lesson-3-2-evaluation-of-tr-systems-basic-measures
